scene_id,station_id,snapshot_id,selection_index,quantile,candidate_count,target_sequence_rank,selected_sequence_rank,query_frame_index,query_timestamp,query_bag_sha256,source_path,source_npy_sha256,source_array_sha256,source_point_count,target_npy_sha256,target_array_sha256,selection_method,selection_frozen_before_registration,source_size_bytes
FMB1_R01,S01,FMB1_R01_S01_Q01,0,0.05,148,7.3500000000000005,7,7,1787144103.7640028,2611163603dcecf427f44a4db42eecfc5de661596b880ec60e595baec861a4db,/home/lj/ZPRM/zero_perturbation_runtime/mid360_formal_batch1_ingest_v1/snapshots/FMB1_R01/S01/FMB1_R01_S01_Q01.npy,b138575f54b85431360e767afed21bf0689d9289c0be93b12df7463f6c5f6a91,bde2c6817d834347b8b86cc30db5edda2faa5c0f563c77cc3aeeb413189ce776,16007,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,90fed5cad99bb2279358050d6a13cca42a1fe753a4982806677dd19bc56c2f6d,FIXED_QUANTILE_SEQUENCE_RANK_NEAREST_UNUSED_EARLIER_TIE,True,384296
FMB1_R01,S01,FMB1_R01_S01_Q02,1,0.15,148,22.05,22,22,1787144105.2641664,2611163603dcecf427f44a4db42eecfc5de661596b880ec60e595baec861a4db,/home/lj/ZPRM/zero_perturbation_runtime/mid360_formal_batch1_ingest_v1/snapshots/FMB1_R01/S01/FMB1_R01_S01_Q02.npy,e7ccc5916d176f912d51ac21ade3528baedaa7b7487a798d389edfd822270df5,2da64d5290119a0b98636b2adfe31eb6d8d775b2d7f612c716bdc3454e378e25,16032,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,90fed5cad99bb2279358050d6a13cca42a1fe753a4982806677dd19bc56c2f6d,FIXED_QUANTILE_SEQUENCE_RANK_NEAREST_UNUSED_EARLIER_TIE,True,384896
FMB1_R01,S01,FMB1_R01_S01_Q03,2,0.25,148,36.75,37,37,1787144106.7641795,2611163603dcecf427f44a4db42eecfc5de661596b880ec60e595baec861a4db,/home/lj/ZPRM/zero_perturbation_runtime/mid360_formal_batch1_ingest_v1/snapshots/FMB1_R01/S01/FMB1_R01_S01_Q03.npy,5aca332fab82ff8f6256ff441126ae9a5430f97bc6d3bc658606f7105ea18cd6,dca140c321eede8feac278061109586149e9826cff556413001b692e8b1a88b1,15978,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,90fed5cad99bb2279358050d6a13cca42a1fe753a4982806677dd19bc56c2f6d,FIXED_QUANTILE_SEQUENCE_RANK_NEAREST_UNUSED_EARLIER_TIE,True,383600
FMB1_R01,S01,FMB1_R01_S01_Q04,3,0.35,148,51.449999999999996,51,51,1787144108.1653411,2611163603dcecf427f44a4db42eecfc5de661596b880ec60e595baec861a4db,/home/lj/ZPRM/zero_perturbation_runtime/mid360_formal_batch1_ingest_v1/snapshots/FMB1_R01/S01/FMB1_R01_S01_Q04.npy,2b498c7764b5839ed3681a291f0e3d655f162cba08551761139ca9403f02e65c,6c887e18e7e97c8543569aa8188055ec368f75094db85b0091db254ced88959a,15942,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,90fed5cad99bb2279358050d6a13cca42a1fe753a4982806677dd19bc56c2f6d,FIXED_QUANTILE_SEQUENCE_RANK_NEAREST_UNUSED_EARLIER_TIE,True,382736
FMB1_R01,S01,FMB1_R01_S01_Q05,4,0.45,148,66.15,66,66,1787144109.6639335,2611163603dcecf427f44a4db42eecfc5de661596b880ec60e595baec861a4db,/home/lj/ZPRM/zero_perturbation_runtime/mid360_formal_batch1_ingest_v1/snapshots/FMB1_R01/S01/FMB1_R01_S01_Q05.npy,2eb1ac29fd0d65185ea9f59d074898378b2776a640ebb8662045d14500669748,02fe7a77479380ecfcf699f65ddd61425ccf61f74c75bec618239eb3f99c4e01,16031,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,90fed5cad99bb2279358050d6a13cca42a1fe753a4982806677dd19bc56c2f6d,FIXED_QUANTILE_SEQUENCE_RANK_NEAREST_UNUSED_EARLIER_TIE,True,384872
FMB1_R01,S01,FMB1_R01_S01_Q06,5,0.55,148,80.85000000000001,81,81,1787144111.1628811,2611163603dcecf427f44a4db42eecfc5de661596b880ec60e595baec861a4db,/home/lj/ZPRM/zero_perturbation_runtime/mid360_formal_batch1_ingest_v1/snapshots/FMB1_R01/S01/FMB1_R01_S01_Q06.npy,dbdae97a20b42aeae972321409722960c5c0bbf36a11d192cc4140f0ee4344bc,425b30ebdc4f7913b5f3bfd7b960a8bb4d5916abf636f2fd76bdc39143c24d0b,16145,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,90fed5cad99bb2279358050d6a13cca42a1fe753a4982806677dd19bc56c2f6d,FIXED_QUANTILE_SEQUENCE_RANK_NEAREST_UNUSED_EARLIER_TIE,True,387608
FMB1_R01,S01,FMB1_R01_S01_Q07,6,0.65,148,95.55,96,96,1787144112.6651077,2611163603dcecf427f44a4db42eecfc5de661596b880ec60e595baec861a4db,/home/lj/ZPRM/zero_perturbation_runtime/mid360_formal_batch1_ingest_v1/snapshots/FMB1_R01/S01/FMB1_R01_S01_Q07.npy,0fa1c343914d270f22c221aa9462c7a0aff8fa7285aabe9913ed918d7286b0fc,34dd5bc16485352efb3464851d586df3a5367497624f354007764714e1a1f996,16025,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,90fed5cad99bb2279358050d6a13cca42a1fe753a4982806677dd19bc56c2f6d,FIXED_QUANTILE_SEQUENCE_RANK_NEAREST_UNUSED_EARLIER_TIE,True,384728
FMB1_R01,S01,FMB1_R01_S01_Q08,7,0.75,148,110.25,110,110,1787144114.06477,2611163603dcecf427f44a4db42eecfc5de661596b880ec60e595baec861a4db,/home/lj/ZPRM/zero_perturbation_runtime/mid360_formal_batch1_ingest_v1/snapshots/FMB1_R01/S01/FMB1_R01_S01_Q08.npy,494923af855a191f271e9476d0938c577cf4daa987ea5e60618543c45b55310c,3686265c33911fe1252e45931ae5f8296cfb84dccb9312b4e41a1d5fa796dccf,16110,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,90fed5cad99bb2279358050d6a13cca42a1fe753a4982806677dd19bc56c2f6d,FIXED_QUANTILE_SEQUENCE_RANK_NEAREST_UNUSED_EARLIER_TIE,True,386768
FMB1_R01,S01,FMB1_R01_S01_Q09,8,0.85,148,124.95,125,125,1787144115.563863,2611163603dcecf427f44a4db42eecfc5de661596b880ec60e595baec861a4db,/home/lj/ZPRM/zero_perturbation_runtime/mid360_formal_batch1_ingest_v1/snapshots/FMB1_R01/S01/FMB1_R01_S01_Q09.npy,6c8abaf6f9e5b4ba9e71f9f0c8a94e718210d6a4538f4ba7c9c62cc723aa1dbe,1ca8e326ab8654cf2d9e836b000dfcd1229efb0dc19e830bfc1a4f07813045f1,16014,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,90fed5cad99bb2279358050d6a13cca42a1fe753a4982806677dd19bc56c2f6d,FIXED_QUANTILE_SEQUENCE_RANK_NEAREST_UNUSED_EARLIER_TIE,True,384464
FMB1_R01,S01,FMB1_R01_S01_Q10,9,0.95,148,139.65,140,140,1787144117.0637145,2611163603dcecf427f44a4db42eecfc5de661596b880ec60e595baec861a4db,/home/lj/ZPRM/zero_perturbation_runtime/mid360_formal_batch1_ingest_v1/snapshots/FMB1_R01/S01/FMB1_R01_S01_Q10.npy,1f707f8c43d10a01147a5035041fb8f7ef9b579fcd35a14a6ed4be58d7371a39,d7d42a3f57316ea23746c372c2eaa6abfc79c6c958c5b71ee27b7db641bf6714,16001,720673d9b628a1f642026936b6fec5fb3e59a4f7472f5f84713a4f1d99756ad2,90fed5cad99bb2279358050d6a13cca42a1fe753a4982806677dd19bc56c2f6d,FIXED_QUANTILE_SEQUENCE_RANK_NEAREST_UNUSED_EARLIER_TIE,True,384152
